domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
xmr-usa.dwarfpool.com,8050,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,USA,open_source,https://github.com/sofwerx/tor-moneropool/blob/9b9c9f659d752ece805f33c09bc6f77825f8e957/docker-compose.yml,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query docker_compose_stratum; repo=sofwerx/tor-moneropool; path=docker-compose.yml; review before promotion.
xmr.2miners.com,2222,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/Flofactionllc/flofaction-website-backup/blob/fe35390c9fea96ada1fb7e6be331bfed252fbfbe/optimized_mining_config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=Flofactionllc/flofaction-website-backup; path=optimized_mining_config.json; review before promotion.
xmrig.nanswap.com,3333,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,North America,open_source,https://github.com/Sec7orTeam/Mining-nanswap-via-vps-by-Rinaldi/blob/5e4371f6c89fdeb2ccb47281aeb13e037848c922/config.json; https://github.com/qji-2dorrah/argon2/blob/41f4406c459b8b55714937510d46000f249f4eaf/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query xmrig_pools_json; repo=Sec7orTeam/Mining-nanswap-via-vps-by-Rinaldi; path=config.json; review before promotion.
yescrypt.eu.mine.zpool.ca,6233,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Europe,open_source,https://github.com/cniweb/cpuminer-multi-docker/blob/4d2bfafd4b8adcaa0ca20b557d6de490f5aa06c5/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=cniweb/cpuminer-multi-docker; path=config.json; review before promotion.
yescrypt.mine.zergpool.com,6233,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/cniweb/cpuminer-opt-docker/blob/7e7066178ed68964c3e0688be4114a57846ff63a/config.json; https://github.com/cniweb/cpuminer-multi-docker/blob/4d2bfafd4b8adcaa0ca20b557d6de490f5aa06c5/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=cniweb/cpuminer-opt-docker; path=config.json; review before promotion.
yespower.eu.mine.zergpool.com,6533,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Europe,open_source,https://github.com/cniweb/cpuminer-opt-docker/blob/7e7066178ed68964c3e0688be4114a57846ff63a/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=cniweb/cpuminer-opt-docker; path=config.json; review before promotion.
yespower.mine.zergpool.com,6533,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Global,open_source,https://github.com/cniweb/cpuminer-opt-docker/blob/7e7066178ed68964c3e0688be4114a57846ff63a/config.json; https://github.com/Darktron/cpuminer/blob/2e6bce05829f307d02595e04ac1ec2d42ab8d40a/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=cniweb/cpuminer-opt-docker; path=config.json; review before promotion.
yiimp.eu,3223,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Europe,open_source,https://github.com/BitPoolMining/BitPoolMiner/blob/8f46e69f38fc8ed28a0528a053ae1517d9547b75/BitPoolMiner/MinerApps/CryptoDredge_0.14.0/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=BitPoolMining/BitPoolMiner; path=BitPoolMiner/MinerApps/CryptoDredge_0.14.0/config.json; review before promotion.
yiimp.eu,3566,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Europe,open_source,https://github.com/BitPoolMining/BitPoolMiner/blob/8f46e69f38fc8ed28a0528a053ae1517d9547b75/BitPoolMiner/MinerApps/CryptoDredge_0.14.0/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=BitPoolMining/BitPoolMiner; path=BitPoolMiner/MinerApps/CryptoDredge_0.14.0/config.json; review before promotion.
yiimp.eu,8332,stratum+tcp,UNKNOWN,UNKNOWN,UNKNOWN,Europe,open_source,https://github.com/BitPoolMining/BitPoolMiner/blob/8f46e69f38fc8ed28a0528a053ae1517d9547b75/BitPoolMiner/MinerApps/CryptoDredge_0.14.0/config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=BitPoolMining/BitPoolMiner; path=BitPoolMiner/MinerApps/CryptoDredge_0.14.0/config.json; review before promotion.
