pool_name,website_domain,website_url,profile_url,directory_source,source_type,confidence,first_seen,last_seen,notes
Mike.rs,mike.rs,https://mike.rs/,https://minerstat.com/pools/mike-rs; https://miningpoolstats.stream/0xbitcoin,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Minafacil,pool.minafacil.com,https://pool.minafacil.com/,https://minerstat.com/pools/minafacil,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mine2Gether,mine2gether.com,https://mine2gether.com/,https://minerstat.com/pools/mine2gether,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
MineBarn,minebarn.com,https://minebarn.com/,https://minerstat.com/pools/minebarn,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Miner Rocks,miner.rocks,https://miner.rocks/,https://minerstat.com/pools/miner-rocks,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Minerall,minerall.io,https://minerall.io/,https://minerstat.com/pools/minerall,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
minerlab.io,aleo-pool.minerlab.io,https://aleo-pool.minerlab.io/,https://miningpoolstats.stream/aleo,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for aleo.
MinerMore,minermore.com,https://minermore.com/,https://minerstat.com/pools/minermore,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Minernode,minerno.de,https://minerno.de/,https://minerstat.com/pools/minernode,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
MinerPool,minerpool.org,https://minerpool.org/,https://minerstat.com/pools/minerpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
MineXMR,minexmr.com,https://minexmr.com/,https://minerstat.com/pools/minexmr,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mining Fool,miningfool.com,https://miningfool.com/,https://minerstat.com/pools/mining-fool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mining France,miningfrance.io,https://miningfrance.io/,https://minerstat.com/pools/mining-france,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mining Ocean,miningocean.org,https://miningocean.org/,https://minerstat.com/pools/mining-ocean,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Mining Pool Hub,miningpoolhub.com,https://miningpoolhub.com/,https://minerstat.com/pools/mining-pool-hub,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
