domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
bch.2miners.com,7373,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://bch.2miners.com/; https://bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain bch.2miners.com. auto_source=official_site_crawl
solo-bch.2miners.com,9090,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://solo-bch.2miners.com/; https://solo-bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain solo-bch.2miners.com. auto_source=official_site_crawl
solo-bch.2miners.com,9191,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://solo-bch.2miners.com/; https://solo-bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain solo-bch.2miners.com. auto_source=official_site_crawl
solo-bch.2miners.com,9292,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://solo-bch.2miners.com/; https://solo-bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain solo-bch.2miners.com. auto_source=official_site_crawl
solo-bch.2miners.com,9393,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://solo-bch.2miners.com/; https://solo-bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-bch.2miners.com. auto_source=official_site_crawl
solo-btc.2miners.com,2323,stratum+tcp,2miners.com,BTC,SHA-256,Global,official,https://solo-btc.2miners.com/; https://solo-btc.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-btc.2miners.com. auto_source=official_site_crawl
solo-btc.2miners.com,2424,stratum+tcp,2miners.com,BTC,SHA-256,Global,official,https://solo-btc.2miners.com/; https://solo-btc.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain solo-btc.2miners.com. auto_source=official_site_crawl
solo-btc.2miners.com,2525,stratum+tcp,2miners.com,BTC,SHA-256,Global,official,https://solo-btc.2miners.com/; https://solo-btc.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain solo-btc.2miners.com. auto_source=official_site_crawl
solo-btc.2miners.com,2626,stratum+tcp,2miners.com,BTC,SHA-256,Global,official,https://solo-btc.2miners.com/; https://solo-btc.2miners.com/#pools,confirmed,active,2026-04-21,2026-06-08,Discovered by shallow crawling official website domain solo-btc.2miners.com. auto_source=official_site_crawl
ckb.2miners.com,6464,stratum+tcp,2miners.com,CKB,Eaglesong,Global,official,https://ckb.2miners.com/; https://ckb.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain ckb.2miners.com. auto_source=official_site_crawl
ckb.2miners.com,6565,stratum+tcp,2miners.com,CKB,Eaglesong,Global,official,https://ckb.2miners.com/; https://ckb.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain ckb.2miners.com. auto_source=official_site_crawl
solo-ckb.2miners.com,6767,stratum+tcp,2miners.com,CKB,Eaglesong,Global,official,https://solo-ckb.2miners.com/; https://solo-ckb.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-ckb.2miners.com. auto_source=official_site_crawl
solo-ckb.2miners.com,6868,stratum+tcp,2miners.com,CKB,Eaglesong,Global,official,https://solo-ckb.2miners.com/; https://solo-ckb.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-ckb.2miners.com. auto_source=official_site_crawl
solo-erg.2miners.com,9898,stratum+tcp,2miners.com,ERG,Autolykos v2,Global,official,https://solo-erg.2miners.com/; https://solo-erg.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-erg.2miners.com. auto_source=official_site_crawl
solo-erg.2miners.com,9999,stratum+tcp,2miners.com,ERG,Autolykos v2,Global,official,https://solo-erg.2miners.com/; https://solo-erg.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-erg.2miners.com. auto_source=official_site_crawl
solo-etc.2miners.com,5050,stratum+tcp,2miners.com,ETC,Etchash,Global,official,https://solo-etc.2miners.com/; https://solo-etc.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-etc.2miners.com. auto_source=official_site_crawl
solo-etc.2miners.com,5151,stratum+tcp,2miners.com,ETC,Etchash,Global,official,https://solo-etc.2miners.com/; https://solo-etc.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-etc.2miners.com. auto_source=official_site_crawl
ethw.2miners.com,12020,stratum+tcp,2miners.com,ETHW,Ethash,Global,official,https://ethw.2miners.com/faq,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain ethw.2miners.com. auto_source=official_site_crawl
solo-ethw.2miners.com,6060,stratum+tcp,2miners.com,ETHW,Ethash,Global,official,https://solo-ethw.2miners.com/; https://solo-ethw.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-ethw.2miners.com. auto_source=official_site_crawl
solo-ethw.2miners.com,6161,stratum+tcp,2miners.com,ETHW,Ethash,Global,official,https://solo-ethw.2miners.com/; https://solo-ethw.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-ethw.2miners.com. auto_source=official_site_crawl
kas.2miners.com,2020,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://kas.2miners.com/; https://kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain kas.2miners.com. auto_source=official_site_crawl
kas.2miners.com,2121,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://kas.2miners.com/; https://kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain kas.2miners.com. auto_source=official_site_crawl
kas.2miners.com,2222,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://kas.2miners.com/; https://kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain kas.2miners.com. auto_source=official_site_crawl
kas.2miners.com,2323,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://kas.2miners.com/; https://kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain kas.2miners.com. auto_source=official_site_crawl
solo-kas.2miners.com,3030,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://solo-kas.2miners.com/; https://solo-kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-kas.2miners.com. auto_source=official_site_crawl
solo-kas.2miners.com,3333,stratum+tcp,2miners.com,KAS,kHeavyHash,Global,official,https://solo-kas.2miners.com/; https://solo-kas.2miners.com/#pools,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain solo-kas.2miners.com. auto_source=official_site_crawl
